Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy Points,Position Rank
1,Christian McCaffrey*+,SFO,RB,27,16,16,0,0,0,0,0,272,1459,5.36,83,67,564,8.42,3,2,21,391.3,1
2,CeeDee Lamb*+,DAL,WR,24,17,17,0,0,0,0,0,14,113,8.07,181,135,1749,12.96,3,2,14,403.2,1
3,Josh Allen,BUF,QB,27,17,17,385,579,4306,29,18,111,524,4.72,0,0,0,,7,4,15,392.6,1
4,Tyreek Hill*+,MIA,WR,29,16,16,0,0,0,0,0,6,15,2.5,171,119,1799,15.12,1,1,13,376.4,2
5,Jalen Hurts*,PHI,QB,25,17,17,352,538,3858,23,15,157,605,3.85,0,0,0,,9,5,15,356.8,2
6,Raheem Mostert*,MIA,RB,31,15,15,0,0,0,0,0,209,1012,4.84,32,25,175,7,4,1,21,267.7,2
7,Amon-Ra St. Brown*+,DET,WR,24,16,16,0,0,0,0,0,4,24,6,164,119,1515,12.73,1,1,10,330.9,3
8,Dak Prescott*,DAL,QB,30,17,17,410,590,4516,36,9,55,242,4.4,0,0,0,,4,2,2,342.8,3
9,Mike Evans*,TAM,WR,30,17,17,0,0,0,0,0,0,0,,136,79,1255,15.89,0,0,13,282.5,4
10,Lamar Jackson*+,BAL,QB,26,16,16,307,457,3678,24,7,148,821,5.55,0,0,0,,11,6,5,331.2,4
11,Sam LaPorta*,DET,TE,22,17,14,0,0,0,0,0,1,4,4,120,86,889,10.34,0,0,10,239.3,1
12,Travis Etienne,JAX,RB,24,17,17,0,0,0,0,0,267,1008,3.78,73,58,476,8.21,0,0,12,282.4,3
13,Kyren Williams*,LAR,RB,23,12,11,0,0,0,0,0,228,1144,5.02,48,32,206,6.44,3,2,15,255,4
14,Puka Nacua*,LAR,WR,22,17,17,0,0,0,0,0,12,89,7.42,160,105,1486,14.15,1,0,6,298.5,5
15,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,5.25,136,96,1364,14.21,1,1,9,286.5,6
16,Derrick Henry*,TEN,RB,29,17,17,2,3,14,2,0,280,1167,4.17,36,28,214,7.64,0,0,12,246.7,5
17,Joe Mixon,CIN,RB,27,17,17,0,0,0,0,0,257,1034,4.02,64,52,376,7.23,0,0,12,267,6
18,Jordan Love,GNB,QB,25,17,17,372,579,4159,32,11,50,247,4.94,0,0,0,,9,3,4,319.1,5
19,Breece Hall,NYJ,RB,22,17,16,0,0,0,0,0,223,994,4.46,95,76,591,7.78,2,0,9,290.5,7
20,A.J. Brown*,PHI,WR,26,17,17,0,0,0,0,0,0,0,,158,106,1456,13.74,2,2,7,289.6,8
21,Deebo Samuel,SFO,WR,27,15,15,0,1,0,0,0,37,225,6.08,89,60,892,14.87,1,0,12,243.7,7
22,George Kittle*+,SFO,TE,30,16,16,0,0,0,0,0,1,2,2,90,65,1020,15.69,0,0,6,203.2,2
23,Nico Collins,HOU,WR,24,15,10,0,0,0,0,0,1,7,7,109,80,1297,16.21,1,0,8,260.4,9
24,Rachaad White,TAM,RB,24,17,17,0,0,0,0,0,272,990,3.64,70,64,549,8.58,3,2,9,267.9,8
25,Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,0,,105,75,1342,17.89,1,1,7,249.2,10
26,Travis Kelce*,KAN,TE,34,15,15,0,0,0,0,0,0,0,,121,93,984,10.58,1,1,5,219.4,3
27,Keenan Allen*,LAC,WR,31,13,13,1,2,49,1,0,2,6,3,150,108,1243,11.51,2,1,7,278.9,11
28,T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,0,,127,95,960,10.11,1,1,5,219,4
29,Stefon Diggs*,BUF,WR,30,17,17,0,0,0,0,0,1,5,5,160,107,1183,11.06,2,1,8,273.8,12
30,David Njoku*,CLE,TE,27,16,16,0,0,0,0,0,0,0,,123,81,882,10.89,2,2,6,201.2,5
31,Brock Purdy*,SFO,QB,24,16,16,308,444,4280,31,11,39,144,3.69,0,0,0,,6,2,2,295.6,6
32,David Montgomery,DET,RB,26,14,14,0,0,0,0,0,219,1015,4.63,24,16,117,7.31,2,1,13,207.2,9
33,Ja'Marr Chase*,CIN,WR,23,16,16,1,1,-7,0,0,3,-6,-2,145,100,1216,12.16,1,0,7,262.7,13
34,Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,0,,175,103,1144,11.11,0,0,8,265.4,14
35,Jahmyr Gibbs*,DET,RB,21,15,3,0,0,0,0,0,182,945,5.19,71,52,316,6.08,2,1,11,242.1,10
36,Evan Engram*,JAX,TE,29,17,15,0,0,0,0,0,0,0,,143,114,963,8.45,3,2,4,230.3,6
37,James Cook*,BUF,RB,24,17,13,0,0,0,0,0,237,1122,4.73,54,44,445,10.11,4,2,6,232.7,11
38,Bijan Robinson,ATL,RB,21,17,16,0,0,0,0,0,214,976,4.56,86,58,487,8.4,4,3,8,246.3,12
39,D.K. Metcalf*,SEA,WR,26,16,16,0,0,0,0,0,0,0,,119,66,1114,16.88,0,0,8,225.4,15
40,Jared Goff,DET,QB,29,17,17,407,605,4575,30,12,32,21,0.66,0,0,0,,6,4,2,289.1,7
41,Taysom Hill,NOR,TE,33,16,7,6,11,83,1,0,81,401,4.95,40,33,291,8.82,1,1,6,143.5,7
42,Amari Cooper*,CLE,WR,29,15,15,0,0,0,0,0,0,0,,128,72,1250,17.36,2,1,5,227,16
43,Saquon Barkley,NYG,RB,26,14,14,0,0,0,0,0,247,962,3.89,60,41,280,6.83,2,2,10,223.2,13
44,Calvin Ridley,JAX,WR,29,17,17,0,0,0,0,0,9,23,2.56,136,76,1016,13.37,1,0,8,229.9,17
45,Jayden Reed,GNB,WR,23,16,13,0,0,0,0,0,11,119,10.82,94,64,793,12.39,2,0,10,217.2,18
46,Cole Kmet,CHI,TE,24,17,17,0,0,0,0,0,3,2,0.67,90,73,719,9.85,1,0,6,181.1,8
47,Jordan Addison,MIN,WR,21,17,14,0,0,0,0,0,1,2,2,108,70,911,13.01,0,0,10,221.3,19
48,Jake Ferguson*,DAL,TE,24,17,16,0,0,0,0,0,0,0,,102,71,761,10.72,0,0,5,177.1,9
49,DeAndre Hopkins,TEN,WR,31,17,16,0,1,0,0,0,2,9,4.5,137,75,1057,14.09,0,0,7,223.6,20
50,Patrick Mahomes*,KAN,QB,28,16,16,401,597,4183,27,14,75,389,5.19,0,0,0,,5,3,0,280.2,8
51,Jakobi Meyers,LVR,WR,27,16,16,2,3,12,1,0,4,24,6,106,71,807,11.37,0,0,10,218.6,21
52,James Conner,ARI,RB,28,13,13,0,0,0,0,0,208,1040,5,33,27,165,6.11,0,0,9,201.5,15
53,Gus Edwards,BAL,RB,28,17,9,0,0,0,0,0,198,810,4.09,13,12,180,15,3,2,13,187,14
54,DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,0,,112,81,1066,13.16,1,1,7,227.6,22
55,George Pickens,PIT,WR,22,17,16,0,0,0,0,0,3,18,6,106,63,1140,18.1,3,0,5,208.8,23
56,Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,0,,106,81,825,10.19,1,0,3,181.5,10
57,Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,0,,138,87,1123,12.91,0,0,5,231.3,24
58,C.J. Stroud*,HOU,QB,22,15,15,319,499,4108,23,5,39,167,4.28,1,1,0,0,8,4,3,276,9
59,Kenneth Walker III,SEA,RB,23,15,15,0,0,0,0,0,219,905,4.13,37,29,259,8.93,1,0,9,199.4,16
60,Baker Mayfield*,TAM,QB,28,17,17,364,566,4044,28,10,62,163,2.63,0,0,0,,8,3,1,274.1,10
61,Isiah Pacheco,KAN,RB,24,14,13,0,0,0,0,0,205,935,4.56,49,44,244,5.55,1,1,9,213.9,17
62,Michael Pittman Jr.,IND,WR,26,16,15,0,0,0,0,0,0,0,,156,109,1152,10.57,2,1,4,250.2,25
63,Tony Pollard,DAL,RB,26,17,17,0,0,0,0,0,252,1005,3.99,67,55,311,5.65,3,1,6,222.6,18
64,Jerome Ford,CLE,RB,24,17,12,0,0,0,0,0,204,813,3.99,63,44,319,7.25,1,1,9,211.2,19
65,Najee Harris,PIT,RB,25,17,17,0,0,0,0,0,255,1035,4.06,38,29,170,5.86,2,1,8,195.5,20
66,Tua Tagovailoa*,MIA,QB,25,17,17,388,560,4624,29,14,35,74,2.11,0,0,0,,13,5,0,270.4,11
67,Dalton Schultz,HOU,TE,27,15,8,0,0,0,0,0,0,0,,88,59,635,10.76,1,1,5,150.5,11
68,Mark Andrews,BAL,TE,28,10,9,0,0,0,0,0,1,0,0,61,45,544,12.09,1,0,6,135.4,12
69,De'Von Achane,MIA,RB,22,11,4,0,0,0,0,0,103,800,7.77,37,27,197,7.3,1,1,11,190.7,21
70,Justin Jefferson,MIN,WR,24,10,9,0,1,0,0,0,1,-12,-12,100,68,1074,15.79,1,1,5,202.2,26
71,Brian Robinson Jr.,WAS,RB,24,15,15,0,0,0,0,0,178,733,4.12,43,36,368,10.22,4,2,9,198.1,22
72,Rashee Rice,KAN,WR,23,16,8,0,0,0,0,0,1,-3,-3,102,79,938,11.87,2,1,7,212.5,27
73,D'Andre Swift*,PHI,RB,24,16,15,0,0,0,0,0,229,1049,4.58,49,39,214,5.49,3,1,6,199.3,23
74,Courtland Sutton,DEN,WR,28,16,14,0,0,0,0,0,0,0,,90,59,772,13.08,3,3,10,190.2,28
75,Terry McLaurin,WAS,WR,28,17,17,0,0,0,0,0,0,0,,132,79,1002,12.68,0,0,5,209.2,29
76,Trevor Lawrence,JAX,QB,24,16,16,370,564,4016,21,14,70,339,4.84,0,0,0,,12,7,4,262.5,12
77,Sam Howell,WAS,QB,23,17,17,388,612,3946,21,21,48,263,5.48,1,1,4,4,4,2,5,257.5,14
78,Russell Wilson,DEN,QB,35,15,15,297,447,3070,26,8,80,341,4.26,0,0,0,,10,5,3,256.9,13
79,Matthew Stafford*,LAR,QB,35,15,15,326,521,3965,24,11,21,65,3.1,0,0,0,,0,0,0,243.1,15
80,Derek Carr,NOR,QB,32,17,17,375,548,3878,25,8,32,40,1.25,0,0,0,,7,3,0,241.1,16
81,Justin Herbert,LAC,QB,25,13,13,297,456,3134,20,7,52,228,4.38,1,1,10,10,4,1,3,234.2,17
82,Justin Fields,CHI,QB,24,13,13,227,370,2562,16,9,124,657,5.3,0,0,0,,10,4,4,230.2,18
83,Geno Smith*,SEA,QB,33,15,15,323,499,3624,20,9,37,155,4.19,1,1,-2,-2,5,3,1,227.3,19
84,Joshua Dobbs,2TM,QB,28,13,12,262,417,2464,13,10,77,421,5.47,0,0,0,,14,7,6,200.7,20
85,Gardner Minshew II*,IND,QB,27,17,13,305,490,3305,15,9,34,100,2.94,0,0,0,,8,5,3,196.2,21
86,Desmond Ridder,ATL,QB,24,15,13,249,388,2836,12,12,53,193,3.64,1,1,-6,-6,12,7,5,177.1,22
87,Alvin Kamara,NOR,RB,28,13,12,0,0,0,0,0,180,694,3.86,86,75,466,6.21,0,0,6,233,24
88,Bryce Young,CAR,QB,22,16,16,315,527,2877,11,10,39,253,6.49,0,0,0,,11,6,0,156.4,23
89,Kirk Cousins,MIN,QB,35,8,8,216,311,2331,18,5,14,25,1.79,0,0,0,,7,4,0,149.7,24
90,Joe Burrow,CIN,QB,27,10,10,244,365,2309,15,6,31,88,2.84,0,0,0,,2,1,0,147.2,25
91,Kyler Murray,ARI,QB,26,8,8,176,268,1799,10,5,44,244,5.55,0,0,0,,7,0,3,146.4,26
92,Chuba Hubbard,CAR,RB,24,17,12,0,0,0,0,0,238,902,3.79,44,39,233,5.97,1,0,5,182.5,26
93,Josh Jacobs,LVR,RB,25,13,13,0,0,0,0,0,233,805,3.45,54,37,296,8,3,1,6,181.1,25
94,Jake Browning,CIN,QB,27,9,7,171,243,1936,12,7,27,127,4.7,1,1,-7,-7,3,0,3,144.4,27
95,Zack Moss,IND,RB,26,14,8,0,0,0,0,0,183,794,4.34,37,27,192,7.11,0,0,7,169.6,27
96,Devin Singletary,HOU,RB,26,17,10,1,1,6,1,0,216,898,4.16,38,30,193,6.43,1,0,4,167.3,29
97,Jonathan Taylor,IND,RB,24,10,7,0,0,0,0,0,169,741,4.38,23,19,153,8.05,1,0,8,156.4,28
98,Jaylen Warren,PIT,RB,25,17,0,0,0,0,0,0,149,784,5.26,74,61,370,6.07,4,2,4,196.4,30
99,Austin Ekeler,LAC,RB,28,14,14,0,0,0,0,0,179,628,3.51,74,51,436,8.55,5,4,6,185.4,31
100,Javonte Williams,DEN,RB,23,16,13,0,0,0,0,0,217,774,3.57,58,47,228,4.85,1,1,5,179.2,32
101,Zay Flowers,BAL,WR,23,16,16,0,0,0,0,0,8,56,7,108,77,858,11.14,0,0,6,206.4,30
102,Adam Thielen,CAR,WR,33,17,17,0,0,0,0,0,1,6,6,137,103,1014,9.84,2,0,4,231,31
103,Jaylen Waddle,MIA,WR,25,14,14,0,0,0,0,0,3,12,4,104,72,1014,14.08,0,0,4,198.6,32
104,Chris Godwin,TAM,WR,27,17,17,0,1,0,0,0,4,38,9.5,130,83,1024,12.34,0,0,3,209.2,33
105,Aidan O'Connell,LVR,QB,25,11,10,213,343,2218,12,7,17,11,0.65,0,0,0,,4,2,1,125.8,28
106,Ezekiel Elliott,NWE,RB,28,17,5,0,0,0,0,0,184,642,3.49,65,51,313,6.14,2,1,5,174.5,33
107,Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,0,,122,79,894,11.32,0,0,5,202.4,34
108,Tyler Allgeier,ATL,RB,23,17,3,0,0,0,0,0,186,683,3.67,23,18,193,10.72,0,0,5,137.6,34
109,Zach Wilson,NYJ,QB,24,12,11,221,368,2271,8,7,36,211,5.86,0,0,0,,11,7,0,119.9,29
110,Brandin Cooks,DAL,WR,30,16,15,0,0,0,0,0,5,35,7,81,54,657,12.17,1,0,8,173.2,35
111,Tank Dell,HOU,WR,24,11,8,0,0,0,0,0,11,51,4.64,75,47,709,15.09,1,0,7,165,37
112,Garrett Wilson,NYJ,WR,23,17,17,0,1,0,0,0,4,0,0,168,95,1042,10.97,2,2,3,213.2,36
113,Gabriel Davis,BUF,WR,24,17,17,0,0,0,0,0,1,-2,-2,81,45,746,16.58,1,1,7,161.4,38
114,Romeo Doubs,GNB,WR,23,17,16,0,0,0,0,0,0,0,,96,59,674,11.42,1,0,8,174.4,39
115,Kenny Pickett,PIT,QB,25,12,12,201,324,2070,6,4,42,54,1.29,0,0,0,,2,0,1,110.2,30
116,Rashid Shaheed*+,NOR,WR,25,15,8,0,0,0,0,0,7,37,5.29,75,46,719,15.63,1,1,6,155.6,40
117,Rhamondre Stevenson,NWE,RB,25,12,12,0,0,0,0,0,156,619,3.97,51,38,238,6.26,1,1,4,145.7,35
118,Mac Jones,NWE,QB,25,11,11,224,345,2120,10,12,26,96,3.69,0,0,0,,3,2,0,106.4,31
119,Aaron Jones,GNB,RB,29,11,11,0,0,0,0,0,142,656,4.62,43,30,233,7.77,2,1,3,134.9,36
120,Cooper Kupp,LAR,WR,30,12,12,0,0,0,0,0,1,-3,-3,95,59,737,12.49,0,0,5,164.4,41
121,Drake London,ATL,WR,22,16,16,1,1,22,0,0,0,0,,110,69,905,13.12,0,0,2,174.4,42
122,Kareem Hunt,CLE,RB,28,15,2,0,0,0,0,0,135,411,3.04,21,15,84,5.6,0,0,9,118.5,37
123,Alexander Mattison,MIN,RB,25,16,13,0,0,0,0,0,180,700,3.89,44,30,192,6.4,3,2,3,133.2,38
124,Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,0,,87,51,717,14.06,1,0,5,152.7,43
125,Will Levis,TEN,QB,24,9,9,149,255,1808,8,4,25,57,2.28,0,0,0,,7,4,1,102,32
126,Tyjae Spears,TEN,RB,22,17,1,0,0,0,0,0,100,453,4.53,70,52,385,7.4,1,0,3,153.8,39
127,Joe Flacco,CLE,QB,38,5,5,123,204,1616,13,8,9,2,0.22,0,0,0,,4,1,0,100.8,33
128,Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,0,,79,50,770,15.4,0,0,4,151,44
129,AJ Dillon,GNB,RB,25,15,6,0,0,0,0,0,178,613,3.44,28,22,223,10.14,0,0,2,117.6,40
130,Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,0,,76,42,656,15.62,0,0,5,137.6,45
131,Curtis Samuel,WAS,WR,27,16,13,0,0,0,0,0,7,39,5.57,91,62,613,9.89,0,0,5,157.2,46
132,Tommy DeVito,NYG,QB,25,9,6,114,178,1101,8,3,36,195,5.42,0,0,0,,2,1,1,93.5,34
133,Khalil Herbert,CHI,RB,25,12,9,0,0,0,0,0,132,611,4.63,31,20,134,6.7,1,1,3,112.5,41
134,Christian Kirk,JAX,WR,27,12,12,1,2,-1,0,0,1,6,6,85,57,787,13.81,2,2,3,150.3,47
135,Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,0,,98,68,771,11.34,0,0,2,157.1,48
136,Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,0,,64,40,608,15.2,1,1,5,128.8,49
137,Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,0,,87,54,758,14.04,1,0,2,141.8,50
138,Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,0,,93,63,628,9.97,0,0,4,149.8,51
139,Tyrod Taylor,NYG,QB,34,11,5,116,180,1341,5,3,38,197,5.18,0,0,0,,4,0,0,87.3,35
140,Deshaun Watson,CLE,QB,28,6,6,105,171,1115,7,4,26,142,5.46,0,0,0,,5,2,1,86.8,36
141,Marquise Brown,ARI,WR,26,14,14,0,0,0,0,0,2,23,11.5,101,51,574,11.25,0,0,4,134.7,52
142,Kyle Pitts,ATL,TE,23,17,15,0,0,0,0,0,1,-4,-4,90,53,667,12.58,0,0,3,137.3,13
143,DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,0,,66,35,525,15,2,1,5,115.5,54
144,Justice Hill,BAL,RB,26,16,5,0,0,0,0,0,84,387,4.61,39,28,206,7.36,1,1,4,109.3,42
145,Dontayvion Wicks,GNB,WR,22,15,6,1,1,14,0,0,1,1,1,58,39,581,14.9,3,1,4,119.8,53
146,Ty Chandler,MIN,RB,25,17,4,0,0,0,0,0,102,461,4.52,25,21,159,7.57,0,0,3,101,44
147,D'Onta Foreman,CHI,RB,27,9,8,0,0,0,0,0,109,425,3.9,16,11,77,7,1,0,5,91.2,43
148,Ryan Tannehill,TEN,QB,35,10,8,149,230,1616,4,7,17,74,4.35,1,0,0,,4,0,1,80,37
149,Antonio Gibson,WAS,RB,25,16,2,0,0,0,0,0,65,265,4.08,59,48,389,8.1,4,2,3,127.4,45
150,Tyler Boyd,CIN,WR,29,17,13,0,1,0,0,1,2,11,5.5,98,67,667,9.96,0,0,2,144.8,55
151,Hunter Henry,NWE,TE,29,14,10,0,0,0,0,0,0,0,,61,42,419,9.98,1,0,6,119.9,14
152,Dallas Goedert,PHI,TE,28,14,14,0,0,0,0,0,1,1,1,83,59,592,10.03,0,0,3,136.3,15
153,Dalton Kincaid,BUF,TE,24,16,11,0,0,0,0,0,0,0,,91,73,673,9.22,1,1,2,150.3,16
154,Michael Wilson,ARI,WR,23,13,12,0,0,0,0,0,0,0,,58,38,565,14.87,0,0,3,114.5,56
155,Jahan Dotson,WAS,WR,23,17,16,0,0,0,0,0,0,0,,83,49,518,10.57,0,0,4,124.8,57
156,Rico Dowdle,DAL,RB,25,16,0,0,0,0,0,0,89,361,4.06,22,17,144,8.47,0,0,4,91.5,47
